,crypto,ann_model,n_layers,drop_rate,optimizer,ann_mse_in,ann_mse_out,best_model_ts_or_ann,test_size,ts_model,ts_dist,ts_p,ts_q,ts_mse_in,ts_mse_out
82,ETH,model3,3,0.4,sgd,0.016052398834453554,0.03003197248046498,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
83,ETH,model4,3,0.4,sgd,0.00880851276903128,0.012679742224654286,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
84,ETH,model5,2,0.4,sgd,,,TS,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
85,ETH,model1,4,0.5,sgd,0.253154525502908,0.04632282640299787,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
86,ETH,model2,3,0.5,sgd,0.2094687937207672,0.03315902353319901,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
87,ETH,model3,3,0.5,sgd,0.022883278944966744,0.04074217915169023,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
88,ETH,model4,3,0.5,sgd,0.036408403044452475,0.02865600148442039,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
89,ETH,model5,2,0.5,sgd,,,TS,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
90,ETH,model1,4,0.4,rmsprop,0.14333148139852042,0.07067410177479254,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
91,ETH,model2,3,0.4,rmsprop,0.17760117486195295,0.07516859833636294,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
92,ETH,model3,3,0.4,rmsprop,0.03499117479849683,0.036796235238874195,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
93,ETH,model4,3,0.4,rmsprop,0.019979715939345104,0.008483652617560317,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
94,ETH,model5,2,0.4,rmsprop,0.01121719798871449,0.008124166556837543,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
95,ETH,model1,4,0.5,rmsprop,0.25064602551259557,0.13871391028757915,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
96,ETH,model2,3,0.5,rmsprop,0.24472027785924017,0.1947699153660149,TS,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
97,ETH,model3,3,0.5,rmsprop,0.07367817689189497,0.043334242227851164,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
98,ETH,model4,3,0.5,rmsprop,0.053551712843152334,0.02095679897675188,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
99,ETH,model5,2,0.5,rmsprop,0.02640931186152204,0.02001417888776619,ANN,453,GARCH,normal,1,1,0.48600653552366985,0.1869398440818974
100,ETH,model1,4,0.4,sgd,0.13361835895600369,0.03398855436782437,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
101,ETH,model2,3,0.4,sgd,0.17019236382781242,0.02395577279328642,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
102,ETH,model3,3,0.4,sgd,0.016917965065079685,0.028055178186040017,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
103,ETH,model4,3,0.4,sgd,0.01457122104926681,0.015358091486210855,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
104,ETH,model5,2,0.4,sgd,,,TS,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
105,ETH,model1,4,0.5,sgd,0.20453097674311424,0.04537152500605215,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
106,ETH,model2,3,0.5,sgd,0.26942419496611975,0.04417457418397036,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
107,ETH,model3,3,0.5,sgd,0.024086956181848536,0.03407252178204639,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
108,ETH,model4,3,0.5,sgd,0.03705463960234608,0.012239664061114226,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
109,ETH,model5,2,0.5,sgd,,,TS,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
110,ETH,model1,4,0.4,rmsprop,0.13146744332067212,0.0879615279157167,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
111,ETH,model2,3,0.4,rmsprop,0.18535587436386516,0.10361297458212897,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
112,ETH,model3,3,0.4,rmsprop,0.03538497341986822,0.04444134786363206,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
113,ETH,model4,3,0.4,rmsprop,0.03739234247263901,0.026935155497284126,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
114,ETH,model5,2,0.4,rmsprop,0.011016395782614697,0.012549089987414825,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
115,ETH,model1,4,0.5,rmsprop,0.2833439362976624,0.20367646427870323,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
116,ETH,model2,3,0.5,rmsprop,0.2587013608186829,0.1313002680574295,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
117,ETH,model3,3,0.5,rmsprop,0.0811562974119977,0.11750796989889334,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
118,ETH,model4,3,0.5,rmsprop,0.04207297053986362,0.026816514877820382,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
119,ETH,model5,2,0.5,rmsprop,0.01505429440044931,0.010175380259587802,ANN,453,ARCH,skewstudent,1,3,1.530400642960804,0.5866647191161628
120,IOTA,model1,4,0.4,sgd,0.284482636734059,0.39424531033496985,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
121,IOTA,model2,3,0.4,sgd,,,TS,453,EGARCH,studentst,1,1,0.1777726010896974,0.0657582011274441
