Date,open,high,low,close,market_cap,lagged_open,lagged_close,log_price,pct_change,returns,log_returns,idx,stdev14,stdev30,stdev60,hvol14,hvol30,hvol60,variance14,variance30,variance60,sma_14,sma_28,sma_12,lagged_sma_12,ema_12,sma_26,lagged_sma_26,ema_26,rsi,macd,momentum,boll_bands_upper_band,boll_bands_lower_band
2015-04-02,247.09,254.46,245.42,253.01,3544973232,253.07,254.32,5.5334290136381,0.022948156619016835,2.2948156619016835,0.022948156619016908,702,0.02841205379180765,0.03140302360026862,0.03463087786016069,0.5428115255261522,0.5999539234826664,0.6616219925292381,0.2946443522440286,0.3599447103022451,0.43774366099835926,252.24071428571378,266.9196428571425,250.79999999999953,249.66333333333287,250.17820512820472,266.33730769230766,265.56692307692305,264.6367806267806,47.01882388179575,-14.458575498575868,29.17999999999998,264.2482998602066,235.83170013979233
2015-04-03,253.07,256.04,251.88,254.32,3564354620,254.29,253.7,5.538593316602547,0.005164302964447032,0.5164302964447032,0.00516430296444701,703,0.02844403364205843,0.031017831846266313,0.03409926004068363,0.5434224997073193,0.5925948453553973,0.65146544834902,0.2953080131881514,0.35116865074178727,0.4244072303925896,251.70999999999952,266.26249999999965,249.66333333333287,248.57666666666623,249.46025641025602,265.56692307692305,264.1857692307692,263.4549715099715,47.92425297283784,-13.99471509971545,25.75,263.43689997104616,235.0773857432385
2015-04-04,254.29,255.26,251.1,253.7,3556559216,253.76,260.6,5.536152466605236,-0.002440849997311645,-0.2440849997311645,-0.002440849997311117,704,0.028416356804810923,0.03091455476013721,0.03352183282237206,0.5428937344741495,0.5906217393953558,0.6404337168329266,0.2947336069312883,0.34883403904639554,0.41015534565643724,251.25857142857095,265.45678571428533,248.57666666666623,249.82666666666623,250.42256410256374,264.1857692307692,262.98730769230764,262.29935897435894,47.510418389140725,-11.876794871795198,30.819999999999993,262.196421843998,233.99643529885807
2015-04-05,253.76,260.67,251.94,260.6,3654268030,260.72,255.49,5.562986664690745,0.02683419808550891,2.683419808550891,0.026834198085508753,705,0.028167876888311735,0.031306979373204924,0.03367010268562337,0.5381465323350197,0.5981190011010448,0.6432664085929359,0.28960169026420646,0.3577463394781116,0.413791672424054,250.73285714285663,264.9657142857139,249.82666666666623,250.60083333333287,252.13916666666626,262.98730769230764,261.41461538461533,261.35427350427346,52.433270673611,-9.215106837607209,37.24000000000001,261.5781591310895,233.67755515462375
2015-04-06,260.72,261.8,254.57,255.49,3583466919,255.27,253.18,5.543183269934562,-0.019803394756182868,-1.9803394756182868,-0.019803394756182615,706,0.028538363406723694,0.03135544101460488,0.03325804202391621,0.54522466733081,0.5990448594599852,0.6353940007047363,0.29726993786599243,0.3588547436454334,0.4037255361315704,249.92928571428521,263.7471428571425,250.60083333333287,250.98833333333286,251.68089743589704,261.41461538461533,259.8311538461538,259.5095868945869,48.78422267847205,-7.828689458689865,32.890000000000015,260.0295489740345,231.94902245453588
2015-04-07,255.27,255.8,252.21,253.18,3552014128,253.06,245.02,5.5341006982086824,-0.00908257172587934,-0.908257172587934,-0.009082571725879927,707,0.01838754345771766,0.03136768064576224,0.03318023107075804,0.3512935245054359,0.5992786972849129,0.6339074245319639,0.12340714035945129,0.35913495701950227,0.40183862287674754,250.47071428571377,262.36928571428535,250.98833333333286,250.82083333333284,251.18378205128164,259.8311538461538,258.2803846153846,257.90257834757836,47.18555762457332,-6.718796296296716,28.55000000000001,253.17973567111525,235.21883575745514
2015-04-08,253.06,253.85,244.21,245.02,3438326345,244.75,243.68,5.5013398398660245,-0.03276085834265796,-3.276085834265796,-0.03276085834265764,708,0.020467905606365026,0.02996901157047666,0.03334897997300763,0.391038787548678,0.5725571621215193,0.6371313677826758,0.15291133336754012,0.3278217038966477,0.40593637981262326,250.38642857142807,260.5349999999996,250.82083333333284,250.0608333333328,249.28532051282008,258.2803846153846,256.8107692307692,255.9373789173789,41.95524962819293,-6.652058404558829,9.75,252.4529576143668,232.59704238563214
2015-04-09,244.75,246.12,239.4,243.68,3420248520,243.69,236.07,5.495855889146852,-0.0054839507191726256,-0.5483950719172626,-0.005483950719172786,709,0.020319498416691617,0.02987223833466479,0.03325469890110129,0.3882034721710582,0.5707083120473199,0.6353301304330381,0.15070193580566557,0.32570797743990104,0.4036443746360612,250.03999999999948,258.72535714285675,250.0608333333328,249.50749999999948,248.6109615384611,256.8107692307692,254.87538461538455,254.0460968660968,41.148622550335034,-5.435135327635692,9.5,250.56431434397228,230.99425708459808
2015-04-10,243.69,243.69,232.77,236.07,3314409567,236.02,236.55,5.4641283712150015,-0.03172751793185036,-3.1727517931850358,-0.03172751793185001,710,0.021763292363692427,0.02993649358871366,0.03346184965039785,0.41578711679807595,0.5719359069522469,0.6392877399414353,0.17287892649525685,0.32711068166128926,0.40868881443942817,249.25714285714233,256.9657142857139,249.50749999999948,248.5924999999995,246.66596153846112,254.87538461538455,252.796923076923,251.55789173789168,36.81924101115072,-4.891930199430561,-0.3900000000000148,248.91612313568228,228.1510197214595
2015-04-11,236.02,239.54,234.18,236.55,3321976615,236.54,236.15,5.466159602077157,0.0020312308621557307,0.20312308621557307,0.0020312308621555,711,0.02058746344767251,0.029986169097934903,0.03346056427497404,0.39332293689966374,0.5728849562233506,0.6392631828784442,0.15470293269137686,0.3281971730670303,0.4086574169838792,248.09642857142805,255.34642857142816,248.5924999999995,247.9199999999995,246.17076923076883,252.796923076923,250.89846153846145,249.83561253561246,37.26757729045829,-3.664843304843629,5.280000000000001,246.0987989883704,226.63405815448573
2015-04-12,236.54,237.73,233.49,236.15,3317129018,235.95,224.59,5.4644671963421265,-0.001692405735030711,-0.1692405735030711,-0.0016924057350310182,712,0.01800655210709976,0.0296710377026124,0.033458219572703764,0.34401469497214804,0.5668643793692579,0.6392183874044682,0.11834611035678005,0.321335224597694,0.40860014679596884,247.6278571428566,253.55214285714243,247.9199999999995,246.02999999999952,244.5099999999996,250.89846153846145,249.67884615384608,248.67670940170933,37.031748566569235,-4.166709401709738,9.76000000000002,242.06668182772765,225.23760388655703
2015-04-13,235.95,236.93,222.0,224.59,3155548414,224.76,219.16,5.414276517715631,-0.05019067862649518,-5.019067862649518,-0.05019067862649481,713,0.020787579447249138,0.03068896141185011,0.034068390293288564,0.397146147703372,0.5863117845279755,0.6508756826531323,0.15772506263562855,0.34376150867637917,0.42363915426918103,245.9892857142852,251.19499999999957,246.02999999999952,243.20916666666616,240.34467948717906,249.67884615384608,248.0723076923076,246.3328774928774,30.938518460352682,-5.988198005698337,5.159999999999997,241.07033857936207,221.82537570635125
2015-04-14,224.76,224.98,216.32,219.16,3080098939,219.07,223.83,5.389802056670215,-0.024474461045416618,-2.447446104541662,-0.024474461045416444,714,0.02122302183207697,0.030516481798778125,0.0333109939990589,0.4054652627845667,0.5830165661470796,0.6364056467693765,0.1644020793249577,0.3399083164019321,0.40501214723994844,244.1992857142852,248.82535714285672,243.20916666666616,240.6683333333328,237.35935897435854,248.0723076923076,246.61384615384605,244.58022792022783,28.561254946219776,-7.2208689458692845,-10.129999999999995,239.938316661544,220.39882619559788
2015-04-15,219.07,223.83,218.65,223.83,3146465248,223.92,228.57,5.4108868351515325,0.021084778481317734,2.1084778481317734,0.02108477848131773,715,0.021917269837039392,0.03070573305037269,0.031325954743739684,0.4187288522958536,0.5866322062320425,0.5984815250460884,0.1753338517450028,0.34413734538867363,0.3581801358214918,242.52499999999947,247.66571428571385,240.6683333333328,238.57416666666617,236.30583333333294,246.61384615384605,245.40423076923065,243.80613960113948,33.30756515593593,-7.500306267806536,-2.019999999999982,239.44967863243502,219.3388927961354
2015-04-16,223.92,229.67,223.92,228.57,3213884952,228.57,222.88,5.431842509153028,0.02095567400149534,2.095567400149534,0.02095567400149515,716,0.02172724486191734,0.031110173382737753,0.029228268261875197,0.4150984302436536,0.5943590279325802,0.5584052810814664,0.17230670679074536,0.35326265408496166,0.31181645793967144,240.77928571428518,246.50999999999954,238.57416666666617,235.43083333333286,234.3753205128201,245.40423076923065,243.67038461538448,242.55183760683747,37.82298672957756,-8.176517094017356,2.759999999999991,238.82437295871975,218.93276989842215
2015-04-17,228.57,228.91,221.94,222.88,3134573444,222.85,223.36,5.4066335100314955,-0.025208999121532294,-2.5208999121532294,-0.02520899912153244,717,0.021894494122721944,0.025179883843586964,0.029396492581925036,0.4182937228847877,0.4810610053698326,0.5616192022033242,0.1749696386048156,0.2314196908874341,0.3154161282834983,238.5335714285709,245.12178571428527,235.43083333333286,232.75333333333288,231.2343589743586,243.67038461538448,242.00192307692294,240.58548433048418,34.77890542320536,-9.351125356125578,-13.27000000000001,238.54306199223504,218.52836657919255
2015-04-18,222.85,224.32,220.88,223.36,3142049362,223.46,222.6,5.408784819574008,0.002151309542512081,0.2151309542512081,0.002151309542512075,718,0.022030655532197563,0.0248662389666965,0.028893872459123948,0.4208950829602274,0.47506882841050746,0.5520166582402241,0.17715267086009667,0.22569039172733218,0.3047223909747043,236.36642857142806,243.81249999999955,232.75333333333288,230.20499999999956,229.1519230769227,242.00192307692294,241.11730769230755,239.80195156695143,35.25231639391856,-10.650028490028717,-8.719999999999999,237.8476072735793,217.77239272641967
2015-04-19,223.46,226.35,222.37,222.6,3132226860,222.61,224.63,5.4053764388414445,-0.00340838073256311,-0.340838073256311,-0.0034083807325632864,719,0.0197680028944841,0.02482095373435945,0.028649695918364484,0.37766716501340314,0.4742036552615052,0.5473516719791618,0.14263248752926108,0.22486910666337248,0.2995938528183839,233.65214285714234,242.19249999999957,230.20499999999956,228.5058333333329,227.59724358974321,241.11730769230755,240.2876923076922,238.97749287749278,34.82134071574178,-11.380249287749564,-12.330000000000013,235.5751944775849,217.6562340938426
2015-04-20,222.61,226.35,221.98,224.63,3161599719,224.62,235.27,5.414454604177079,0.009078165335634658,0.9078165335634658,0.009078165335634294,720,0.020269227055776943,0.024954813368025672,0.028589061421695473,0.3872430391693356,0.4767610399718525,0.5461932515468484,0.1499571713851036,0.22730108923504233,0.2983270680353188,231.44785714285666,240.688571428571,228.5058333333329,227.80499999999958,227.31653846153813,240.2876923076922,239.7776923076922,238.65564102564093,37.03559421935615,-11.339102564102802,-15.730000000000018,236.1516886441225,217.7511684987336
